year,month,intent,police,sex,age,race,hispanic,place,education
2012,1,1,0,1,23.0,2,261,1,1.0
2012,2,1,0,1,49.0,4,100,4,3.0
2012,2,2,0,1,50.0,4,100,1,2.0
2012,2,1,0,1,44.0,1,100,1,2.0
2012,2,2,0,1,46.0,4,100,4,3.0
2012,1,1,0,1,46.0,4,100,0,2.0
2012,1,1,0,1,21.0,1,100,1,2.0
2012,1,1,0,1,42.0,1,100,1,2.0
2012,2,2,0,1,42.0,4,100,4,2.0
2012,1,1,0,1,34.0,1,100,1,2.0
2012,1,1,0,1,50.0,4,100,3,1.0
2012,1,2,0,1,25.0,4,100,1,2.0
2012,2,2,0,1,60.0,4,100,4,3.0
2012,2,2,0,1,47.0,1,100,8,2.0
2012,2,1,0,1,36.0,1,100,9,1.0
2012,2,1,0,1,24.0,1,100,1,3.0
2012,2,2,0,1,22.0,4,100,1,1.0
2012,2,1,0,0,20.0,4,100,1,2.0
2012,2,2,0,1,58.0,4,100,4,3.0
2012,1,2,0,1,67.0,1,100,1,4.0
2012,2,1,0,0,18.0,1,100,8,1.0
2012,2,1,0,0,32.0,1,100,8,2.0
2012,2,2,0,1,69.0,4,100,1,2.0
2012,2,2,0,1,84.0,4,100,4,3.0
2012,2,1,0,0,31.0,1,100,1,2.0
2012,2,1,0,1,42.0,1,100,2,1.0
2012,2,2,0,1,20.0,4,100,1,3.0
2012,2,2,0,1,48.0,4,100,1,4.0
2012,2,2,0,1,54.0,4,100,1,2.0
2012,2,2,0,0,37.0,4,100,4,3.0
2012,1,2,0,1,56.0,4,100,1,2.0
2012,2,1,0,1,34.0,1,100,9,3.0
2012,2,2,0,0,20.0,4,100,3,3.0
2012,2,2,0,1,72.0,1,100,1,1.0
2012,1,2,0,1,55.0,4,100,1,2.0
2012,2,2,0,1,35.0,4,100,1,3.0
2012,1,2,0,0,17.0,4,100,4,1.0
2012,3,2,0,1,37.0,4,100,1,2.0
2012,1,1,0,1,42.0,1,100,4,2.0
2012,2,1,0,1,47.0,1,100,1,2.0
2012,2,2,0,1,82.0,4,100,1,3.0
2012,2,0,0,1,25.0,4,100,4,4.0
2012,3,1,0,0,28.0,4,100,0,2.0
2012,2,2,0,1,38.0,4,100,1,3.0
2012,3,2,0,1,49.0,1,100,4,2.0
2012,3,2,0,1,36.0,1,100,1,4.0
2012,2,2,0,1,29.0,4,100,4,3.0
2012,2,2,0,1,75.0,4,100,4,2.0
2012,3,2,0,1,57.0,4,100,1,1.0
2012,2,2,0,1,49.0,1,100,4,2.0
2012,3,2,0,1,73.0,4,100,4,2.0
2012,2,2,0,1,53.0,4,100,1,1.0
2012,3,2,0,0,24.0,4,100,4,4.0
2012,3,1,0,1,45.0,1,100,1,2.0
2012,3,2,0,1,52.0,4,100,1,3.0
2012,3,2,0,1,81.0,4,100,1,2.0
2012,3,1,0,1,31.0,1,100,6,1.0
2012,2,2,0,1,32.0,1,100,4,1.0
2012,2,1,0,1,46.0,1,100,1,4.0
2012,2,2,0,0,65.0,4,100,1,2.0
2012,2,1,0,1,18.0,1,100,6,2.0
2012,3,1,0,1,15.0,1,100,1,1.0
2012,3,2,0,1,49.0,4,100,1,4.0
2012,3,2,0,1,51.0,4,100,4,3.0
2012,1,1,0,1,29.0,1,100,4,2.0
2012,3,2,0,1,62.0,4,100,9,4.0
2012,3,2,0,1,33.0,2,211,1,2.0
2012,3,2,0,1,78.0,4,100,4,4.0
2012,2,2,0,1,58.0,4,100,1,3.0
2012,3,2,0,1,34.0,4,100,3,3.0
2012,1,2,0,1,82.0,4,100,4,2.0
2012,3,3,0,1,23.0,1,100,4,2.0
2012,3,2,0,1,83.0,4,100,4,3.0
2012,2,2,0,1,50.0,1,100,1,1.0
2012,3,2,0,1,13.0,4,100,1,1.0
2012,3,1,0,1,17.0,1,100,1,1.0
2012,3,2,0,1,30.0,4,100,1,2.0
2012,3,2,0,1,63.0,4,100,3,2.0
2012,3,2,0,1,64.0,4,100,8,3.0
2012,3,2,0,1,40.0,4,100,9,4.0
2012,3,2,0,1,42.0,4,100,4,3.0
2012,2,1,0,1,32.0,1,100,8,1.0
2012,3,1,0,1,21.0,4,100,1,2.0
2012,3,2,0,1,37.0,4,100,1,2.0
2012,3,2,0,1,49.0,4,100,8,1.0
2012,3,2,0,1,37.0,4,100,4,2.0
2012,2,2,0,1,83.0,4,100,1,3.0
2012,3,2,0,0,54.0,4,100,1,2.0
2012,4,2,0,1,72.0,4,100,1,4.0
2012,3,2,0,1,74.0,4,100,1,3.0
2012,3,1,0,1,54.0,1,100,1,2.0
2012,3,2,0,1,34.0,1,100,1,2.0
2012,4,2,0,1,74.0,4,100,1,2.0
2012,2,1,0,1,24.0,1,100,4,2.0
2012,3,2,0,1,46.0,4,100,1,4.0
2012,3,2,0,1,48.0,1,100,1,1.0
